TAG NAME,TAG TYPE,PIXEL ID
ar - pgv - adwords remarketing - lt - no end,sp,688848055
ch - cl - adform register user - pl - no end,html,Unknown
ch - ev - pageview count cookie - ru - no end,html,Unknown
ch - custom pixel home - pl - no end,html,Unknown
ch - ev - admedo pixel - br - no end,html,Unknown
ci - pv - crwdcntrl newsletter thanks popup - br - no end,img,https://bcp.crwdcntrl.net/5/c=11370/b=54594342
ac - pv - contact page - lt - no end,awct,688848055
bg - pv - bing uet tag - fr - end 9907,baut,Unknown
ch - custom pixel easycare range - pl - no end,html,Unknown
ch - custom pixel colour overview - pl - no end,html,Unknown
ci - pgv - mInsights - vn - no end,img,//vn-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_914591&src.rand={{cjs - timestamp}}&
go - vpv - optimize all pages - nl - no end,opt,Unknown
fc - vpv - kleurtester - nl - no end,flc,5434613
fc - vpv - creations - nl - no end,flc,5434613
fs - sales flexa colour tester - nl - no end,fls,Unknown
fc - ev - add to cart - nl - no end,flc,5434613
fc - ev - add to wishlist - nl - no end,flc,5434613
fc - ev - bereken - nl - no end,flc,5434613
fc - ev - aanmelding nieuwsbrief - nl - no end,flc,5434613
fc - ev - registreer - nl - no end,flc,5434613
fc - ev - zoeken - nl - no end,flc,5434613
at - pgv - adform campaign - nl - no end,cvt_31470972_676,1602892
fc - evn - engaged unique user landing - uk - no end,flc,9233916
ci - ev - xandr all pages - uk - no end,img,https://ib.adnxs.com/pixie?pi=2c7f8e97-fcff-4d5a-96ba-ec32d7361aee&e=LandingPage&page_type=<{{dlv - page.category.pageType - global}}>&page_name=<{{dlv - page.info.name}}>&script=0
ci - ev - xandr cart page - uk - no end,img,https://ib.adnxs.com/pixie?pi=2c7f8e97-fcff-4d5a-96ba-ec32d7361aee&e=InitiateCheckout&page_type=<{{dlv - page.category.pageType - global}}>&page_name=<{{dlv - page.info.name}}>&stage_number=<STAGE_NUMBER>&stage_name=<STAGE_NAME>&primary_category=<{{dlv - page.category.primaryCategory - global}}>&product_type=<PRODUCT_TYPE>&in=<{{cjs - cart name - uk fr nl be}}>&size=<{{cjs - cart size - uk fr nl be}}>&colour_id=<{{cjs - cart colourIDs - uk fr nl be}}>&colour_name=<{{cjs - cart colourNames - uk fr nl be}}>&va=<{{dlv - cart.price.cartTotal}}>&script=0
ci - ev - xandr checkout page - uk - no end,img,https://ib.adnxs.com/pixie?pi=2c7f8e97-fcff-4d5a-96ba-ec32d7361aee&e=Purchase&page_type=<{{dlv - page.category.pageType - global}}>&page_name=<{{dlv - page.info.name}}>&stage_name=<STAGE_NAME>&stage_number=<STAGE_NUMBER>&primary_category=<{{dlv - page.category.primaryCategory - global}}>&product_type=<PRODUCT_TYPE>&in=<{{cjs - transaction name - uk fr nl be}}>&size=<{{cjs - transaction size - uk fr nl be}}>&colour_id=<{{cjs - transaction colourIDs - uk fr nl be}}>&colour_name=<{{cjs - transaction colourNames - uk fr nl be}}>&va=<{{dlv - transaction.total.transactionTotal - uk fr nl be}}>&script=0
"ci - ev - xandr all pages - se, dk, no - no end",img,https://ib.adnxs.com/pixie?pi=d2823504-5854-4e8a-b83a-c16968014570&e=PageView&script=0
go - vpv - optimize all pages - be - no end,opt,Unknown
ch - pgv - first visit cookie - uk - no end,html,Unknown
fc - ev - product page - ie - no end,flc,2310749
fs - ev - transaction - ie - no end,fls,Unknown
fp - pgv - all pages - ie - no end,cvt_31470972_1292,239560854050268
ga4 - pgv - configuration all pages - global - no end,googtag,{{ltb - ga4 trackingcode 2 production hostname}}
ci - pgv - mInsights simply refresh - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_957764&src.rand=[{{cjs - timestamp}}]&
ci - pgv - mInsights colour of the year 2021 - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_957771&src.rand=[{{cjs - timestamp}}]&
ci - pgv - mInsights easycare kitchen - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_957778&src.rand=[{{cjs - timestamp}}]&
ci - pgv - mInsights shade grey - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_957785&src.rand=[{{cjs - timestamp}}]&
ci - pgv - mInsights hallways colour - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_957792&src.rand=[{{cjs - timestamp}}]&
ci - pgv - mInsights weathershield overview - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_957988&src.rand=[{{cjs - timestamp}}]&
ci - pgv - mInsights weathershield product 1 - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_957995&src.rand=[{{cjs - timestamp}}]&
ci - pgv - mInsights weathershield product 2 - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_958002&src.rand=[{{cjs - timestamp}}]&
ci - pgv - mInsights weathershield faq - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_958009&src.rand=[{{cjs - timestamp}}]&
ci - pgv - mInsights makeover article - uk - no end,img,//gb-gmtdmp.mookie1.com/t/v2/activity?tagid=V2_958016&src.rand=[{{cjs - timestamp}}]&
ar - all pages remarketing - dk - no end,sp,813817007
ar - all pages remarketing - no - no end,sp,813813958
fc - pgv - engagement pixel - nl - no end,flc,5434613
fc - vpv - colour detail pages link - uk - no end,flc,9233916
ch - pgv - first visit cookie - nl - no end,html,Unknown
ci - pgv - amazon pixel weathershield - uk - no end,img,https://aax-eu.amazon-adsystem.com/s/iui3?d=forester-did&ex-fargs=%3Fid%3D74fb95e5-ccc7-1a5b-0bdb-0e84effc056a%26type%3D55%26m%3D3&ex-fch=416613&ex-src=https://www.dulux.co.uk/en/weathershield&ex-hargs=v%3D1.0%3Bc%3D2063293224475%3Bp%3D74FB95E5-CCC7-1A5B-0BDB-0E84EFFC056A
ch - pgv - bazaarvoice all pages - uk - no end,html,Unknown
pi - pgv - pinterest all pages - br - no end,pntr,2612888495336
ac - ev - roller tester add to cart - ie - no end,awct,1003746872
ac - ev - roller tester purchase - ie - no end,awct,1003746872
ch - pgv - bazaarvoice transaction - uk - no end,html,Unknown
cl - pgv - all pages - lv - no end,gclidw,Unknown
ac - pgv - google ads easyclean conversion - be - no end,awct,758875977
ch - pgv - virtual shopper close conversation - no end,html,Unknown
ch - pgv - virtual shopper open conversation - no end,html,Unknown
ch - pv - mplatform airclean campaign tag - vn - no end,html,Unknown
ci - pgv - simply refresh - uk - no end,img,https://sp.analytics.yahoo.com/spp.pl?a=10000&.yp=10156564&he=
ba - pgv - all pages - cn - no end,html,Unknown
mi - pgv - all pages - cn - no end,html,Unknown
dc - pgv - all pages - nl - no end,flc,11480712
dc - ev - add to cart - nl - no end,flc,11480712
ds - pgv - order confirmation - nl - no end,fls,Unknown
cw - pgv - core web vitals all pages - global - no end,cvt_31470972_1356,Unknown
fc - vpv - product overview MH - uk - end 2502,flc,11547634
fc - vpv - confirmation page MH - uk - end 2602,fls,Unknown
fc - vpv - address page MH - uk - end 2602,flc,11547634
fc - vpv - delivery page MH - uk - end 2502,flc,11547634
fc - vpv - payment page MH - uk - end 2502,flc,11547634
fc - vpv - product exterior MH - uk - end 2502,flc,11547634
fc - vpv - product interior MH - uk - end 2502,flc,11547634
fc - vpv - cart page MH - uk end 2602,flc,11547634
fc - evn - engaged unique user landing MH - uk - end 2502,flc,11547634
fc - vpv - all pages MH - uk - end 2602,flc,11547634
fc - vpv - colour overview page MH - uk - end 2502,flc,11547634
fc - ev - colour overview add to cart MH - uk - end 2602,flc,11547634
fp - evn - purchase confirmation MH - global - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - newsletter subscription MH - global - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fc - pv - all pages MH - ie - end 2602,flc,11546518
fc - ev - purchase confirmation MH - ie - end 2502,fls,Unknown
fp - pgv - all pages MH - pl - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - newsletter subscription MH - pl - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - add to shoppinglist MH - pl - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fc - pv - all pages MH - gr - end 2702,flc,11532210
ch - pgv - eventListener PDPs add-to-shopping-list - global - no end,html,Unknown
fc - pv - all pages MH - in - end 2602,flc,11531946
fc - pv - all pages MH - za - end 2602,flc,11573732
fp - evn - add to cart MH - global - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fc - pv - all pages MH - fr - end 2602,flc,11626093
fc - ev - purchase confirmation MH - fr - end 2502,fls,Unknown
fc - pv - all pages MH - be - end 2502,flc,11532207
fc - ev - purchase confirmation MH - be - end 2502,fls,Unknown
fc - pv - all pages MH - uy - end 2602,flc,11531610
fc - pv - all pages MH - ar - end 2502,flc,11531943
fc - pv - all pages MH - nl - end 2602,flc,11480712
fc - ev - purchase confirmation MH - nl - end 2502,fls,Unknown
fp - evn - add to shoppinglist MH - es - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - pgv - all pages MH - global - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - add to shoppinglist MH - it - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - add to shoppinglist MH - br - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - add to shoppinglist MH - global - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - find store MH - global - end 2503,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fc - pv - products outside MH - be - end 2502,flc,11532207
fc - pv - products inside MH - be - end 2502,flc,11532207
fc - pv - storefinder page MH - be - end 2502,flc,11532207
ce - ev - find product in store MH - be - end 2502,flc,11532207
fc - pv - colour overview page MH - be - end 2602,flc,11532207
fp - evn - add to shoppinglist MH - se - end 2604,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - add to shoppinglist MH - no - end 2604,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - add to shoppinglist MH - dk - end 2604,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fc - ev - colour detail page MH - it - end 2605,flc,11732107
fc - pv - product pages MH - gr - end 2604,flc,11532210
fc - ce - colour detail view - gr - no end,flc,11532210
fc - pv - all pages MH- it - end 2602,flc,11732107
fc - pv - product pages MH - it - end 2605,flc,11732107
fc - pv - product pages MH - es - end 2605,flc,11618268
fc - pv - all pages MH - es - end 2605,flc,11618268
fc - pv - product pages MH - in - end 2605,flc,11531946
fc - pv - all pages MH - no - end 2605,flc,11677550
fc - pv - product pages MH - no - end 2605,flc,11677550
go - vpv - optimize all pages - my - no end,opt,Unknown
go - vpv - optimize all pages - sg - no end,opt,Unknown
go - vpv - optimize all pages - uk - no end,opt,Unknown
pt - pgv - pinterest levis.info - be - no end,pntr,2614341927942
bg - ev - bing transaction revenue - uk - no end,baut,Unknown
fp - pgv - dulux-aquatech - in - no end,cvt_31470972_1292,4858297497584004
ch - pgv - munchkin script - global - no end,html,Unknown
fp - evn - add to shoppinglist MH - ma - end 2608,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
